Marca,SKU,Descripcion, P. Lista USD
EATON,015147,T0-1-102/IVS, $ 46.50 
EATON,015148,P1-32/Z/N, $ 93.35 
EATON,015256,TM-2-8241/EZ, $ 122.52 
EATON,015506," TM-2-8242/EZ - Step switches, TM, 10 A, centre mounting, 2 contact unit(s)", $ 132.68 
EATON,015537,TM-3-8243/EZ, $ 154.07 
EATON,015554,"TM-3-8401/E - Interruptores de marcha atrás, TM, 10 A, montaje empotrado", $ 150.67 
EATON,015571,T0-3-15683/EA/SVB, $ 98.71 
EATON,015630,TM-3-8233/EZ, $ 170.18 
EATON,015661,TM-5-8237/EZ, $ 246.34 
EATON,016318,T3-1-102/E-RT, $ 66.12 
EATON,016619,T0-3-15683/E, $ 69.24 
EATON,016751,T3-2-8215/E, $ 98.51 
EATON,016912,"T3-1-8/E, # Cam Switch", $ 101.69 
EATON,017203,D125-CI43, $ 195.33 
EATON,017236,FL4-3, $ 41.79 
EATON,017253,H-P1, $ 6.63 
EATON,017503,T0-2-8177/EZ, $ 57.59 
EATON,017527,CI43-125, $ 192.68 
EATON,017914,SWRL50-ID, $ 78.79 
EATON,017926,TM-2-8219/E, $ 128.43 
EATON,018053,"T0-1-15434/EZ, # Cam Switch", $ 37.94 
EATON,019095,P1DILEM, $ 27.40 
EATON,019120,T3-1-102/V/SVB, $ 104.17 
EATON,019570,CI23E-125, $ 143.69 
EATON,019576,D125-CI44, $ 106.21 
EATON,019626,H-P14, $ 8.60 
EATON,019658,"KT13,5", $ 4.02 
EATON,019709,M3-CI23, $ 35.63 
EATON,019711,MCS4, $ 191.50 
EATON,019837,22DIL, $ 28.42 
EATON,019863,T0-1-8214/E, $ 41.08 
EATON,019864,T0-4-8223/EZ, $ 86.68 
EATON,019871,T0-2-15422/E, $ 52.08 
EATON,019872,T0-1-15431/E, $ 41.98 
EATON,019875,T0-1-15511/E, $ 39.98 
EATON,019890,P3-100/EA/SVB/N, $ 266.80 
EATON,019892,T0-4-15682/EA/SVB, $ 113.26 
EATON,019925,"UV-T0, # Cam Switch acc", $ 8.92 
EATON,020300,TM-2-8550/E, $ 127.75 
EATON,020402,DILEM-01(24V50/60HZ), $ 65.51 
EATON,020499,T3-4-5/E, $ 379.65 
EATON,021417,DILEM-10(24V50/60HZ), $ 65.51 
EATON,021455,DILEM-10(110V50/60HZ), $ 62.39 
EATON,021594,DILER-31(24V50/60HZ), $ 70.82 
EATON,021704,DILER-22(24V50/60HZ), $ 70.82 
EATON,021871,DILER-22(110V50/60HZ), $ 67.45 
EATON,021924,DILER-40(24V50/60HZ), $ 70.82 
EATON,021943,CI23E-150, $ 172.46 
EATON,021944,CI44-200, $ 379.37 
EATON,021961,DILER-40(110V50/60HZ, $ 67.45 
EATON,021982,FL4-5, $ 44.11 
EATON,021999,H-P3, $ 8.63 
EATON,022031,KT16, $ 4.98 
EATON,022234,T0-2-8211/E, $ 52.08 
EATON,022236,T0-2-8215/E, $ 54.39 
EATON,022244,T0-2-15422/EZ, $ 52.20 
EATON,022245,T0-1-15431/EZ, $ 42.95 
EATON,022248,T0-1-15511/EZ, $ 42.95 
EATON,022264,P3-63/EA/SVB-SW/HI11, $ 189.47 
EATON,022298,ZVV-T0   , $ 5.64 
EATON,023869,T3-4-15682/E, $ 156.45 
EATON,023870,T3-3-8216/E, $ 127.45 
EATON,024322,D150-CI23, $ 80.74 
EATON,024355,FL4-X, $ 59.22 
EATON,024604,T0-4-8410/E, $ 77.28 
EATON,024636,P3-100/V/SVB/N, $ 281.87 
EATON,024637,P3-63/V/SVB/HI11, $ 218.82 
EATON,024639,T0-2-1/E, $ 41.98 
EATON,024646,"CI43X-150, Panel Enclosure", $ 223.59 
EATON,024670,"ZFSX-T0, porta etiquetas para T5, T5B, P3, 88x27mm", $ 2.44 
EATON,024671,ZVV-P3, $ 6.63 
EATON,025046,TM-4-8552/E, $ 204.05 
EATON,026861,P3-63/E, $ 116.29 
EATON,026988,T0-3-8232/E, $ 69.24 
EATON,027012,"T0-2-1/EZ - On-Off switch, T0, 20 A, centre mounting, 2 contact unit(s), 3 pole", $ 42.59 
EATON,027043,ZFSX-P3, $ 3.70 
EATON,027044,ZAV-T0, $ 4.92 
EATON,028641,T3-3-8451/E, $ 127.45 
EATON,029150,KT29, $ 8.23 
EATON,029201,M3-CI43, $ 53.21 
EATON,029203,MCSN11, $ 187.23 
EATON,029353,T0-3-8212/E, $ 57.99 
EATON,029368,T0-4-15602/E, $ 87.86 
EATON,029382,T0-3-8342/EA/SVB, $ 98.71 
EATON,029383,P3-100/EA/SVB/HI11, $ 250.90 
EATON,029387," T0-2-15679/E - On-Off switch, 3 polos+ 1 N/O, 20 A, 90 °", $ 47.24 
EATON,029392,"CI43X-200, Panel Enclosure", $ 215.79 
EATON,029417,ZAV-P3, $ 5.00 
EATON,029452,T0-2-15920/IVS, $ 62.89 
EATON,029769,D-K3X240, $ 125.74 
EATON,030170,ZFS61/62-T0, $ 3.62 
EATON,030851,AK-PKZ0, $ 5.13 
EATON,030992,T3-3-8401/E, $ 133.83 
EATON,031434,CI-C, $ 76.90 
EATON,031523,KT3, $ 39.20 
EATON,031571,LT308.098, $ 141.51 
EATON,031574,M3-CI44, $ 107.34 
EATON,031607,P3-63/EA/SVB, $ 170.70 
EATON,031726,T0-4-8213/E, $ 83.67 
EATON,031728,T0-1-8220/E, $ 39.98 
EATON,031738,T0-3-15391/EZ, $ 73.14 
EATON,031741,T0-4-15602/EZ, $ 91.02 
EATON,031882,ETR4-11-A, $ 157.28 
EATON,031883,ETR4-11-W, $ 169.03 
EATON,031884,ETR4-51-A, $ 173.27 
EATON,031885,ETR4-51-W, $ 173.33 
EATON,031887,ETR4-69-W, $ 219.43 
EATON,031888,ETR4-70-A, $ 298.39 
EATON,031891,ETR4-69-A, $ 222.31 
EATON,032136,K150/3, $ 272.46 
EATON,032139,AE/I23E/T, $ 285.19 
EATON,032151,WS16-ID, $ 287.29 
EATON,032152,SWHDP-ID, $ 11.59 
EATON,032314,RMQ-M1C-ASI, $ 594.32 
EATON,032720,BK25/3-PKZ0, $ 20.28 
EATON,032721,H-B3-PKZ0, $ 4.36 
EATON,033459,DILER-40(42V50/60HZ), $ 67.45 
EATON,033809,CI44E-150, $ 270.53 
EATON,033896,KT36, $ 13.75 
EATON,034096,T0-6-15877/E, $ 113.02 
EATON,034105,T0-1-8240/E, $ 39.98 
EATON,034106,T0-3-8280/E, $ 72.71 
EATON,034109,T0-3-15423/E, $ 66.11 
EATON,034113,T0-2-15512/E, $ 54.07 
EATON,034116,T0-3-8048/E, $ 72.71 
EATON,034121,CU12X5, $ 84.17 
EATON,034129,P3-100/V/SVB/HI11, $ 291.42 
EATON,034223,"STB4-CI, #T ID", $ 83.46 
EATON,034224,"DSCH-CI, #T CI  acc", $ 46.77 
EATON,034515,D-K4X185, $ 125.75 
EATON,034856,ARG-ATR, $ 30.73 
EATON,035127,SVB-PKZ0-E, $ 18.78 
EATON,035129,SVB-PKZ0-CI, $ 17.44 
EATON,035760,T3-4-8440/E, $ 156.45 
EATON,036168,BL-CI, $ 15.81 
EATON,036182,CI44E-200, $ 734.23 
EATON,036269,KT4, $ 51.29 
EATON,036320,M3-CI48, $ 143.13 
EATON,036473,T0-3-8212/Z                                                      , $ 63.42 
EATON,036482,T0-3-15423/EZ, $ 69.65 
EATON,036483,T0-2-15432/EZ, $ 52.20 
EATON,036486,T0-2-15512/EZ, $ 57.59 
EATON,036504,T0-2-1/Z, $ 48.38 
EATON,036511,CI44X-200, $ 409.46 
EATON,036515,Q18WK1, $ 28.75 
EATON,036598,Q18WK1R, $ 28.75 
EATON,036599,Q25WK1, $ 27.38 
EATON,036600,"Q25WK1R, # RMQ", $ 28.75 
EATON,036601,Q25TS-X, $ 1.32 
EATON,036882,"K150/5, # ID", $ 441.60 
EATON,036888,"H-K95/5, # ID", $ 37.00 
EATON,036976,Q25BS, $ 5.10 
EATON,038074,02SQ25, $ 1.13 
EATON,038553,CI-D, $ 90.54 
EATON,038560,D150-CI43, $ 87.59 
EATON,038724,P1-25/E, $ 45.24 
EATON,038772,Q25S1R, $ 47.29 
EATON,038773,Q25S1, $ 45.03 
EATON,038793,"U-CI23E,", $ 79.55 
EATON,038805,Q18S1R, $ 47.29 
EATON,038806,Q18S1, $ 47.29 
EATON,038849,T0-3-8451/E                                                      , $ 72.71 
EATON,038854,T0-1-15401/E, $ 39.13 
EATON,038861,T0-2-15920/E, $ 57.56 
EATON,038873,T0-2-1/EA/SVB, $ 73.99 
EATON,038875,T0-3-15680/EA/SVB, $ 91.94 
EATON,038907,R-AT0, $ 34.68 
EATON,038909,KNB-T0, $ 7.17 
EATON,038930,Q18LWK1-RT/WB, $ 34.68 
EATON,039255,K240/3, $ 852.54 
EATON,039261,"H-K150/5, # ID", $ 130.50 
EATON,039283,TM-2-8230/E, $ 112.06 
EATON,039298,TM-3-8232/E, $ 150.51 
EATON,039335,Q18LWK1R-WS/WB, $ 34.68 
EATON,040376,Q18LWK1R-WS, $ 32.28 
EATON,040656,Q25LWK1-GN, $ 32.28 
EATON,041097,P1-25/EA/SVB, $ 72.36 
EATON,041222,T0-4-8440/E, $ 73.60 
EATON,041226,T0-3-8233/E, $ 69.24 
EATON,041234,T0-2-15920/EZ   , $ 57.59 
EATON,041235,T0-3-8048/IVS, $ 204.56 
EATON,041246,T0-2-1/EA/SVB-SW, $ 70.47 
EATON,041250,P1-25/EZ, $ 45.44 
EATON,041280,V-AT0, $ 36.76 
EATON,041634,H-K240/5, $ 62.28 
EATON,041719,CU20X10, $ 221.71 
EATON,042879,T3-4-8441/E, $ 156.45 
EATON,043595,T0-4-8441/E, $ 77.28 
EATON,043599,T0-3-8233/EZ, $ 72.26 
EATON,043619,T0-2-1/V/SVB, $ 82.38 
EATON,043621,T0-3-15680/V/SVB, $ 100.58 
EATON,043624,T0-3-8342/E, $ 72.71 
EATON,044005,SE-RS-I43, $ 138.84 
EATON,044007,H-K2X240/5, $ 209.24 
EATON,044029,TM-2-8231/E, $ 134.14 
EATON,044092,CU20X5, $ 110.36 
EATON,044502,PKM0-16, $ 147.29 
EATON,044945,B3.1/2-PKZ0, $ 22.77 
EATON,044946,B3.1/3-PKZ0, $ 26.70 
EATON,044947,B3.1/4-PKZ0, $ 30.51 
EATON,044948,B3.1/5-PKZ0, $ 32.90 
EATON,045225,T3-3-8342/E, $ 127.45 
EATON,045227,T3-2-8221/E, $ 98.51 
EATON,045478,TM-1-8291/E/SVB, $ 118.51 
EATON,045479,TM-1-8310/EZ, $ 233.09 
EATON,045485,TM-2-8293/E/SVB, $ 127.75 
EATON,045489,TM-2-8551/EZ, $ 132.02 
EATON,045495,TM-3-8244/EZ, $ 170.18 
EATON,045968,"T0-5-8453/E, # Cam Switch", $ 87.05 
EATON,046185,Q25TS-02, $ 2.89 
EATON,046197,Q25TS-221, $ 2.89 
EATON,046320,RCDILE250, $ 31.88 
EATON,046374,"K2X240/3,"," $ 1,424.18 "
EATON,046380,H-K3X240/5, $ 94.38 
EATON,046382,"HG-CI, #T CI  acc", $ 2.25 
EATON,046845,Q18S1R-WS, $ 53.95 
EATON,046846,Q18S3R-WS, $ 62.08 
EATON,046938,PKZM0-16, $ 156.92 
EATON,046988,PKZM0-20, $ 169.67 
EATON,046989,PKZM0-25, $ 199.75 
EATON,047702,ZW7-540                                                          ," $ 1,296.83 "
EATON,048218,P3-63/V/SVB, $ 198.95 
EATON,048289,UV-P3, $ 14.13 
EATON,048344,T0-5-8281/E, $ 103.44 
EATON,048348,T0-3-15433/E, $ 116.94 
EATON,048351,"T0-3-15513/E, # Cam Switch", $ 63.63 
EATON,048365,P1-25/EA/SVB-SW, $ 72.36 
EATON,048367,P1-25/EA/SVB/N/HI11, $ 118.15 
EATON,048369,P1-32/EZ, $ 66.73 
EATON,048747,K2X240/4," $ 1,880.65 "
EATON,048750,TG44, $ 82.72 
EATON,048751,GA-RS-I43, $ 34.85 
EATON,048893,DILET70-A, $ 355.93 
EATON,048912,31DILE, $ 26.88 
EATON,049822,"ZB4-600-BT1, bateria PS4", $ 72.45 
EATON,049823,22DDILE, $ 47.93 
EATON,050075,ZW7-630," $ 1,296.83 "
EATON,050716,T0-2-8241/E, $ 51.80 
EATON,050738,P1-25/V/SVB-SW, $ 76.47 
EATON,050740,P1-25/EA/SVB-SW/N/HI11, $ 112.99 
EATON,050974,SVA-T3, $ 130.30 
EATON,051114,DILEM-01(230V50/60HZ), $ 62.39 
EATON,051211,CU30X10, $ 451.40 
EATON,051592,DILEEM-10(110V50/60HZ), $ 58.93 
EATON,051596,DILEEM-10(24V50/60HZ), $ 58.93 
EATON,051598,DILEEM-10(115V60HZ), $ 58.93 
EATON,051600,DILEEM-10(24V60HZ), $ 58.93 
EATON,051602,DILEEM-10(240V50HZ), $ 61.88 
EATON,051605,"DILEEM-10(415V50HZ,480V60HZ)", $ 58.93 
EATON,051606,"DILEEM-10(400V50HZ,440V60HZ)", $ 58.93 
EATON,051609,"DILEEM-10(220V50HZ,240V60HZ)", $ 58.93 
EATON,051610,"DILEEM-10(190V50HZ,220V60HZ)", $ 58.93 
EATON,051611,"DILEEM-10(110V50HZ,120V60HZ)", $ 58.93 
EATON,051618,DILEEM-01(110V50/60HZ), $ 58.93 
EATON,051631,"DILEEM-01(400V50HZ,440V60HZ)", $ 58.93 
EATON,051634,"DILEEM-01(220V50HZ,240V60HZ)", $ 58.93 
EATON,051636,"DILEEM-01(110V50HZ,120V60HZ)", $ 58.93 
EATON,051643,DILEEM-10-G(24VDC), $ 78.04 
EATON,051650,DILEEM-01-G(24VDC), $ 81.94 
EATON,051756,"DILER-40(110V50HZ,120V60HZ)", $ 70.82 
EATON,051758,"DILER-40(220V50HZ,240V60HZ)", $ 67.45 
EATON,051759,"DILER-40(230V50HZ,240V60HZ)", $ 67.45 
EATON,051760,"DILER-40(380V50HZ,440V60HZ), # DIL R", $ 107.23 
EATON,051765,"DILER-31(110V50HZ,120V60HZ)", $ 70.82 
EATON,051767,"DILER-31(220V50HZ,240V60HZ)", $ 70.82 
EATON,051768,"DILER-31(230V50HZ,240V60HZ)", $ 67.45 
EATON,051771,"DILER-31(415V50HZ,480V60HZ)", $ 67.45 
EATON,051773,"DILER-22(42V50HZ,48V60HZ)", $ 70.82 
EATON,051774,"DILER-22(110V50HZ,120V60HZ)", $ 70.82 
EATON,051776,"DILER-22(220V50HZ,240V60HZ)", $ 70.82 
EATON,051778,"DILER-22(380V50HZ,440V60HZ)", $ 70.82 
EATON,051780,"DILER-22(415V50HZ,480V60HZ)", $ 67.45 
EATON,051782,"DILEM-10(42V50HZ,48V60HZ)", $ 62.39 
EATON,051783,"DILEM-10(110V50HZ,120V60HZ)", $ 65.51 
EATON,051784,"DILEM-10(190V50HZ,220V60HZ)", $ 65.51 
EATON,051785,"DILEM-10(220V50HZ,240V60HZ)", $ 65.51 
EATON,051786,"DILEM-10(230V50HZ,240V60HZ)", $ 62.39 
